index,Order ID,Date,Status,Fulfilment,Sales Channel,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,Unnamed: 22
112620,406-0700380-9269140,2022-06-12,Shipped,Amazon,Amazon.in,Expedited,JNE3748,JNE3748-KR-XL,kurta,XL,B09RKC7DP7,Shipped,1,INR,431.0,Mumbai,MAHARASHTRA,400074.0,IN,,false,,false
112621,408-2563999-1937125,2022-06-12,Shipped,Amazon,Amazon.in,Expedited,J0119,J0119-TP-S,Top,S,B08RYPSVZK,Shipped,1,INR,758.0,"Ramapuram, pala, Kottayam",KERALA,686576.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,false
112622,408-6410571-6663503,2022-06-12,Shipped,Amazon,Amazon.in,Expedited,J0280,J0280-SKD-XS,Set,XS,B08QGPWMRG,Shipped,1,INR,1473.0,HYDERABAD,TELANGANA,501510.0,IN,,false,,false
112623,408-6777469-1521140,2022-06-12,Shipped,Amazon,Amazon.in,Expedited,JNE3399,JNE3399-KR-XS,kurta,XS,B082W8DNQX,Shipped,1,INR,435.0,NANDYAL,ANDHRA PRADESH,518502.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,false
112624,407-9290190-8544346,2022-06-12,Shipped,Amazon,Amazon.in,Expedited,J0385,J0385-KR-M,kurta,M,B09YYNG98D,Shipped,1,INR,888.0,HYDERABAD,TELANGANA,502319.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,false
112625,402-0967382-1184361,2022-06-12,Cancelled,Amazon,Amazon.in,Expedited,JNE3702,JNE3702-KR-S,kurta,S,B093ZS68K1,Cancelled,0,,,NANDYAL,ANDHRA PRADESH,518501.0,IN,,false,,false
112626,405-9924480-7952356,2022-06-12,Shipped,Amazon,Amazon.in,Expedited,SET286,SET286-KR-NP-XXL,Set,XXL,B099NGG1SM,Shipped,1,INR,626.0,THANE,MAHARASHTRA,400615.0,IN,,false,,false
112627,402-6352714-1128366,2022-06-12,Shipped,Amazon,Amazon.in,Expedited,J0230,J0230-SKD-XL,Set,XL,B08XNJ8P3S,Shipped,1,INR,1163.0,INDORE,MADHYA PRADESH,453555.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,false
112628,403-1491254-9762708,2022-06-12,Shipped,Amazon,Amazon.in,Expedited,PJNE3252,PJNE3252-KR-N-6XL,kurta,6XL,B09LD24932,Shipped,1,INR,925.0,SECUNDERABAD,TELANGANA,500061.0,IN,,false,,false
112629,403-7116720-3891516,2022-06-12,Shipped,Amazon,Amazon.in,Expedited,SET302,SET302-KR-PP-XXXL,Set,3XL,B09RKDPBQV,Shipped,1,INR,775.0,HYDERABAD,TELANGANA,500018.0,IN,,false,,false
112630,408-2963056-9577113,2022-06-12,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0283,J0283-SET-XXL,Set,XXL,B08QGNKGKY,Shipped,1,INR,0.0,IBRAHIMPATNAM,ANDHRA PRADESH,521456.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-EWAPBB6BDRGM6,Amazon PLCC Free-Financing Universal Merchant AAT-AMKH7SAAONETC,Amazon PLCC Free-Financing Universal Merchant AAT-56XNPXK2K7OLI,Amazon PLCC Free-Financing Universal Merchant AAT-ZBCRDPHJI4UDO,Amazon PLCC Free-Financing Universal Merchant AAT-CMBNOJYSQPOPS,Amazon PLCC Free-Financing Universal Merchant AAT-IBN3WODYJ44YC,Amazon PLCC Free-Financing Universal Merchant AAT-W2F65W44TEYES,Amazon PLCC Free-Financing Universal Merchant AAT-ZBGDWJCP6BTLE,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811",false,Easy Ship,false
112631,407-9400286-8333946,2022-06-12,Cancelled,Amazon,Amazon.in,Expedited,J0301,J0301-TP-XL,Top,XL,B099S87FTK,Unshipped,1,INR,693.0,HYDERABAD,TELANGANA,500039.0,IN,,false,,false
112632,402-9102071-7511542,2022-06-12,Shipped,Amazon,Amazon.in,Expedited,J0119,J0119-TP-XXL,Top,XXL,B08RYRBZPC,Shipped,1,INR,758.0,MUMBAI,MAHARASHTRA,400061.0,IN,,false,,false
112633,171-0806611-5580312,2022-06-12,Shipped,Amazon,Amazon.in,Expedited,SET340,SET340-KR-NP-S,Set,S,B09RKDRDRJ,Shipped,1,INR,799.0,HYDERABAD,TELANGANA,500083.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,false
112634,404-0870459-1767514,2022-06-12,Shipped,Amazon,Amazon.in,Expedited,JNE3797,JNE3797-KR-A-M,Western Dress,M,B09TH73PT5,Shipped,1,INR,771.0,BENGALURU,KARNATAKA,560097.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,false
