index,Order ID,Date,Status,Fulfilment,Sales Channel,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,Unnamed: 22
14170,403-9752533-2556330,2022-04-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0005,J0005-DR-XXXL,Western Dress,3XL,B08B3YMCZK,Shipped,1,INR,899.0,HYDERABAD,TELANGANA,500072.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-MYWMDU232W4HO,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-TNYBHEAO7HOHO,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-QMFZ3M7T5NPDS,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",false,Easy Ship,
14171,403-0613697-0445933,2022-04-22,Shipped,Amazon,Amazon.in,Expedited,JNE1525,JNE1525-KR-UDF19BLACK-XXXL,kurta,3XL,B07FTHTK92,Shipped,1,INR,311.0,HYDERABAD,TELANGANA,500072.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
14172,408-2985397-3889947,2022-04-22,Shipped,Amazon,Amazon.in,Expedited,J0340,J0340-TP-M,Top,M,B0986XSXR1,Shipped,1,INR,563.0,KALYAN,MAHARASHTRA,421301.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
14173,408-3517099-8934705,2022-04-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,SET227,SET227-KR-PP-A-M,Set,M,B08P1GQV6V,Shipped,1,INR,571.0,RANCHI,JHARKHAND,834001.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-MYWMDU232W4HO,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-TNYBHEAO7HOHO,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-QMFZ3M7T5NPDS,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",false,Easy Ship,
14174,405-0351717-1434762,2022-04-22,Shipped,Amazon,Amazon.in,Expedited,JNE3575,JNE3575-KR-XXL,kurta,XXL,B08MXC6QCP,Shipped,1,INR,442.0,CHIDAMBARAM,TAMIL NADU,608001.0,IN,Duplicated AYTJSBA8ZOP16 1567159860988,false,,
14175,408-6043356-5532317,2022-04-22,Shipped,Amazon,Amazon.in,Standard,JNE3760,JNE3760-KR-XL,kurta,XL,B099NLQDRK,Shipped,1,INR,0.0,VADODARA,Gujarat,390009.0,IN,,false,,
14176,171-0173510-9461131,2022-04-22,Shipped,Amazon,Amazon.in,Expedited,J0118,J0118-TP-M,Top,M,B08N44NG72,Shipped,1,INR,518.0,Hyderabad,TELANGANA,500048.0,IN,,false,,
14177,406-1451373-0004313,2022-04-22,Shipped,Amazon,Amazon.in,Expedited,JNE3371,JNE3371-KR-XL,kurta,XL,B07WV4JV4D,Shipped,1,INR,329.0,MUMBAI,MAHARASHTRA,400088.0,IN,,false,,
14178,402-8495360-7937100,2022-04-22,Shipped,Amazon,Amazon.in,Expedited,SET356,SET356-KR-NP-L,Set,L,B09QJ484TV,Shipped,1,INR,1099.0,SHIMLA,HIMACHAL PRADESH,171005.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
14179,408-8723139-2617161,2022-04-22,Shipped,Amazon,Amazon.in,Expedited,SET331,SET331-KR-NP-M,Set,M,B09NQ3TN2T,Shipped,1,INR,597.0,KOTHAKOTA,TELANGANA,509381.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
