index,Order ID,Date,Status,Fulfilment,Sales Channel,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,Unnamed: 22
49929,402-0015685-7629964,2022-05-31,Shipped,Amazon,Amazon.in,Expedited,SET299,SET299-KR-PP-XXXL,Set,3XL,B09QJ5KF55,Shipped,1,INR,825.0,VADODARA,Gujarat,390009.0,IN,,false,,false
49930,408-4605199-0448338,2022-05-31,Cancelled,Amazon,Amazon.in,Expedited,J0341,J0341-DR-XXL,Western Dress,XXL,B099NR3NXY,Unshipped,1,INR,885.0,THANE,MAHARASHTRA,401107.0,IN,,false,,false
49931,403-3704873-6725112,2022-05-31,Shipped,Amazon,Amazon.in,Expedited,JNE3798,JNE3798-KR-XXXL,Western Dress,3XL,B09SDYHWLW,Shipped,1,INR,771.0,HYDERABAD,TELANGANA,500008.0,IN,,false,,false
49932,407-2418325-1100338,2022-05-31,Shipped,Amazon,Amazon.in,Expedited,SET293,SET293-KR-NP-XXL,Set,XXL,B09K3QVXBS,Shipped,1,INR,736.0,BHUBANESWAR,ODISHA,751010.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,false
49933,402-5645724-8590714,2022-05-31,Shipped,Amazon,Amazon.in,Expedited,J0007,J0007-SKD-XL,Set,XL,B0894WR7FV,Shipped,1,INR,1133.0,COLVALE,GOA,403513.0,IN,,false,,false
49934,405-3057514-1878767,2022-05-31,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3797,JNE3797-KR-A-M,Western Dress,M,B09TH73PT5,Shipped,1,INR,771.0,GHAZIABAD,UTTAR PRADESH,201005.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-URPEBMPS7TSPE,Amazon PLCC Free-Financing Universal Merchant AAT-5ZEB2OGNZ32MC,Amazon PLCC Free-Financing Universal Merchant AAT-CAK4QZ7KEFRQU,Amazon PLCC Free-Financing Universal Merchant AAT-YZJ5BRTPINRLK,Amazon PLCC Free-Financing Universal Merchant AAT-SNWJTEAZA2JRI,Amazon PLCC Free-Financing Universal Merchant AAT-BBJ6FVTP3QKBO,Amazon PLCC Free-Financing Universal Merchant AAT-TNYBHEAO7HOHO,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-QMFZ3M7T5NPDS,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",false,Easy Ship,false
49935,405-4401429-9922708,2022-05-31,Shipped,Amazon,Amazon.in,Expedited,JNE3651,JNE3651-TP-N-L,Top,L,B08ZHW6KDY,Shipped,1,INR,518.0,DERA BASSI INDUSTRIAL AREA,PUNJAB,140507.0,IN,,false,,false
49936,405-2196548-4228311,2022-05-31,Shipped,Amazon,Amazon.in,Expedited,JNE3659,JNE3659-TP-N-L,Top,L,B08ZHT1PKK,Shipped,1,INR,493.0,DERA BASSI INDUSTRIAL AREA,PUNJAB,140507.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,false
49937,407-1910711-7412315,2022-05-31,Shipped,Amazon,Amazon.in,Expedited,JNE3742,JNE3742-KR-S,kurta,S,B099NP9CTT,Shipped,1,INR,432.0,THANE,MAHARASHTRA,400610.0,IN,,false,,false
49938,408-8282731-1906726,2022-05-31,Shipped,Amazon,Amazon.in,Expedited,MEN5021,MEN5021-KR-XXL,kurta,XXL,B08YYSWWGK,Shipped,1,INR,777.0,BERHAMPUR,ODISHA,760010.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,false
