index,Order ID,Date,Status,Fulfilment,Sales Channel,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,Unnamed: 22
35018,405-2331946-3605912,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,J0199,J0199-SET-XXXL,Set,3XL,B08QGMQRLF,Shipped,1,INR,476.0,BENGALURU,KARNATAKA,560043.0,IN,,false,,
35019,171-2876158-4612316,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-S,kurta,S,B081WX4G4Q,Shipped,1,INR,399.0,ARAMBAGH,WEST BENGAL,712601.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
35020,402-4241214-5258734,2022-04-09,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3742,JNE3742-KR-L,kurta,L,B099NP71TV,Shipped,1,INR,432.0,MALDA,WEST BENGAL,732102.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-YFJA6XMAMWZSK,Amazon PLCC Free-Financing Universal Merchant AAT-K66BSCE2J2V5E,Amazon PLCC Free-Financing Universal Merchant AAT-275LMAQ3T5REI,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",false,Easy Ship,
35021,171-7107933-2749911,2022-04-09,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,JNE3713,JNE3713-TP-N-XS,Top,XS,B08ZHQL89M,Shipped,1,INR,359.0,MYSURU,KARNATAKA,570006.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-R7GXNZWISTRFA,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-P3CSUAK4HTEP2,Amazon PLCC Free-Financing Universal Merchant AAT-YFJA6XMAMWZSK,Amazon PLCC Free-Financing Universal Merchant AAT-K66BSCE2J2V5E,Amazon PLCC Free-Financing Universal Merchant AAT-275LMAQ3T5REI,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",false,Easy Ship,
35022,408-1039576-5387547,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,J0139,J0139-KR-S,kurta,S,B091XPLK72,Shipped,1,INR,399.0,KOLKATA,WEST BENGAL,700078.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
35023,403-2329002-2876357,2022-04-09,Cancelled,Merchant,Amazon.in,Standard,JNE3439,JNE3439-KR-XXL,kurta,XXL,B081WZ7M52,,0,INR,380.0,THANE,MAHARASHTRA,401107.0,IN,,false,Easy Ship,
35024,402-4937537-2428359,2022-04-09,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,NW009,NW009-ST-CP-L,Set,L,B0922SVW74,Shipped,1,INR,586.0,AHMEDABAD,Gujarat,382350.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-YFJA6XMAMWZSK,Amazon PLCC Free-Financing Universal Merchant AAT-K66BSCE2J2V5E,Amazon PLCC Free-Financing Universal Merchant AAT-275LMAQ3T5REI,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",false,Easy Ship,
35025,403-1873567-4980317,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,SET250,SET250-KR-SHA-XS,Set,XS,B08WJ1BGPD,Shipped,1,INR,680.0,MUMBAI,MAHARASHTRA,400064.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
35026,171-1199457-8014758,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,SET184,SET184-KR-PP-XXL,Set,XXL,B08W8KNCDH,Shipped,1,INR,563.0,MUMBAI,MAHARASHTRA,400099.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
35027,402-9057089-2989132,2022-04-09,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,MEN5002,MEN5002-KR-XL,kurta,XL,B08YYZCTJX,Shipped,1,INR,499.0,JODHPUR,RAJASTHAN,342005.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",false,Easy Ship,
35028,403-6622139-1532305,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,JNE3401,JNE3401-KR-S,kurta,S,B082W88H1Z,Shipped,1,INR,259.0,Shillong,MEGHALAYA,793002.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
35029,171-5636090-7425140,2022-04-09,Cancelled,Merchant,Amazon.in,Standard,J0005,J0005-DR-XS,Western Dress,XS,B08B3YVCK3,,0,,,Neemuch,MADHYA PRADESH,458441.0,IN,,false,Easy Ship,
35030,404-0255184-9277150,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,J0341,J0341-DR-XL,Western Dress,XL,B099NQJZPQ,Shipped,1,INR,744.0,NASHIK,MAHARASHTRA,422004.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
35031,402-5278776-4697138,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,J0341,J0341-DR-L,Western Dress,L,B099NRCT7B,Shipped,1,INR,744.0,HYDERABAD,TELANGANA,500010.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
35032,402-4448144-4820337,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,J0301,J0301-TP-XL,Top,XL,B099S87FTK,Shipped,1,INR,493.0,GURGAON,HARYANA,122001.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
35033,171-5322963-4509917,2022-04-09,Cancelled,Merchant,Amazon.in,Standard,JNE3797,JNE3797-KR-M,Western Dress,M,B09SDY8DCT,,0,INR,690.48,MANAKUNNAM,KERALA,682307.0,IN,,false,Easy Ship,
35034,171-6335795-0413141,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,JNE3373,JNE3373-KR-M,kurta,M,B082W8F8P3,Shipped,1,INR,376.0,HYDERABAD,TELANGANA,500056.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
35035,406-3595134-5534744,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,J0003,J0003-SET-M,Set,M,B0894XH3LN,Shipped,1,INR,654.0,PONNANI,KERALA,679584.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
35036,407-1573588-8389964,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,J0340,J0340-TP-M,Top,M,B0986XSXR1,Shipped,1,INR,563.0,BENGALURU,KARNATAKA,560049.0,IN,,false,,
35037,171-7826766-5154735,2022-04-09,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,MEN5011,MEN5011-KR-L,kurta,L,B08YZ243V6,Shipped,1,INR,499.0,New Delhi,DELHI,110005.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-R7GXNZWISTRFA,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-P3CSUAK4HTEP2,Amazon PLCC Free-Financing Universal Merchant AAT-YFJA6XMAMWZSK,Amazon PLCC Free-Financing Universal Merchant AAT-K66BSCE2J2V5E,Amazon PLCC Free-Financing Universal Merchant AAT-275LMAQ3T5REI,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",false,Easy Ship,
35038,406-1608114-2247537,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,J0215,J0215-BL-M,Blouse,M,B09KXXLQK3,Shipped,1,INR,545.0,PUNE,MAHARASHTRA,411036.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
35039,171-4717511-3025101,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,SET268,SET268-KR-NP-XL,Set,XL,B08XQBF1G4,Shipped,1,INR,788.0,PUNE,MAHARASHTRA,411047.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
35040,407-9499699-5854767,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,SET342,SET342-KR-NP-N-XXL,Set,XXL,B09Q18R2RN,Shipped,1,INR,916.0,CHENNAI,TAMIL NADU,600018.0,IN,,false,,
35041,407-5415794-5018732,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,SET273,SET273-KR-NP-S,Set,S,B094FR7J54,Shipped,1,INR,612.0,CHENNAI,TAMIL NADU,600116.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
35042,403-1882157-3103546,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,JNE3675,JNE3675-TU-L,Top,L,B09432M4NC,Shipped,1,INR,545.0,KAMAREDDY,TELANGANA,503111.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
35043,406-1945396-0545102,2022-04-09,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET360,SET360-KR-NP-L,Set,L,B09QJKR216,Shipped,1,INR,1126.0,NEW DELHI,DELHI,110076.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-R7GXNZWISTRFA,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-P3CSUAK4HTEP2,Amazon PLCC Free-Financing Universal Merchant AAT-YFJA6XMAMWZSK,Amazon PLCC Free-Financing Universal Merchant AAT-K66BSCE2J2V5E,Amazon PLCC Free-Financing Universal Merchant AAT-275LMAQ3T5REI,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",false,Easy Ship,
35044,171-1437719-3041145,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,J0006,J0006-SET-M,Ethnic Dress,M,B0894WV6S6,Shipped,1,INR,845.0,KAKINADA,ANDHRA PRADESH,533005.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
35045,402-3547809-9503546,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,SET397,SET397-KR-NP-XL,Set,XL,B09RKDB8SB,Shipped,1,INR,1115.0,PUNE,MAHARASHTRA,411028.0,IN,,false,,
35046,402-1896137-3329140,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,JNE3391,JNE3391-KR-XL,kurta,XL,B081X5GTH3,Shipped,1,INR,432.0,GHAZIABAD,UTTAR PRADESH,201012.0,IN,,false,,
35047,405-0307815-6877962,2022-04-09,Shipped,Amazon,Amazon.in,Expedited,JNE3817,JNE3817-KR-S,kurta,S,B09LV1KQS1,Shipped,1,INR,474.0,BHUNTAR,HIMACHAL PRADESH,175126.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,false,,
35048,408-1200865-6047517,2022-04-09,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3710,JNE3710-DR-M,Western Dress,M,B091T25NQG,Shipped,1,INR,690.0,BHILWARA,RAJASTHAN,311001.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-YFJA6XMAMWZSK,Amazon PLCC Free-Financing Universal Merchant AAT-K66BSCE2J2V5E,Amazon PLCC Free-Financing Universal Merchant AAT-275LMAQ3T5REI,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",false,Easy Ship,
